DevTypeMain	Country	LanguageWorkedWith	DatabaseWorkedWith	MiscTechWorkedWithMain	MiscTechWorkedWithSecondary1	MiscTechWorkedWithSecondary2	MiscTechWorkedWithSecondary3
Developer, full-stack	United States	C	MySQL	.NET			
Academic researcher	Ukraine	C++	Couchbase	Cordova	Node.js		
Data or business analyst	Canada	Java	MongoDB	Hadoop			
Developer, back-end	India	Bash/Shell/PowerShell	Cassandra	Hadoop	Node.js	Pandas	
Data or business analyst	India	C#	Elasticsearch	.NET	Node.js	Pandas	Torch/PyTorch
Data or business analyst	Canada	Bash/Shell/PowerShell	MySQL	Ansible	Chef	Hadoop	Pandas
Data or business analyst	United States	Bash/Shell/PowerShell	Couchbase	Node.js	Xamarin		
Developer, full-stack	United Kingdom	Bash/Shell/PowerShell	MongoDB	.NET	.NET Core	Node.js	
Developer, back-end	Australia	Bash/Shell/PowerShell	MongoDB	Node.js			
Developer, full-stack	Brazil	C#	DynamoDB	.NET	.NET Core	Node.js	
Data or business analyst	United States	Bash/Shell/PowerShell	Elasticsearch	Node.js			
Designer	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core	Node.js	Xamarin
Designer	Turkey	JavaScript	MariaDB	Node.js			
Developer, front-end	United States	Bash/Shell/PowerShell	Firebase	Node.js			
Developer, full-stack	United States	Bash/Shell/PowerShell	MongoDB	Node.js			
Database administrator	United States	C#	Microsoft SQL Server	.NET	.NET Core	Node.js	
Developer, front-end	Spain	C++	Firebase	.NET	.NET Core	Node.js	Unity 3D
Developer, back-end	Germany	Bash/Shell/PowerShell	Oracle	.NET	.NET Core		
Developer, full-stack	United States	Bash/Shell/PowerShell	MongoDB	.NET	Pandas		
Developer, back-end	India	Bash/Shell/PowerShell	Elasticsearch	Node.js			
Data or business analyst	United States	Bash/Shell/PowerShell	MongoDB	Cordova	Node.js	Pandas	TensorFlow
Developer, back-end	Poland	Bash/Shell/PowerShell	MariaDB	Node.js			
Developer, full-stack	United States	Bash/Shell/PowerShell	DynamoDB	Node.js			
Developer, full-stack	Sweden	Bash/Shell/PowerShell	Elasticsearch	Ansible			
Developer, back-end	United States	C#	Microsoft SQL Server	.NET			
Developer, back-end	United States	Bash/Shell/PowerShell	DynamoDB	Ansible	Chef	Node.js	Puppet
Database administrator	United States	C++	Firebase	Cordova	.NET	.NET Core	Node.js
Data or business analyst	Netherlands	Bash/Shell/PowerShell	MariaDB	.NET	Node.js	React Native	
Data scientist or machine learning specialist	Germany	Clojure	Elasticsearch	Other(s):			
Data or business analyst	Australia	C	DynamoDB	Node.js	Unity 3D	Xamarin	
Developer, full-stack	India	HTML/CSS	Elasticsearch	Node.js	TensorFlow		
Designer	United States	C#	Microsoft SQL Server	.NET			
Developer, full-stack	India	HTML/CSS	MongoDB	Cordova	Node.js	React Native	
Developer, full-stack	Canada	C#	Microsoft SQL Server	.NET	Node.js		
Developer, back-end	United Kingdom	Bash/Shell/PowerShell	MongoDB	.NET	.NET Core	TensorFlow	Torch/PyTorch
Developer, back-end	United Kingdom	Bash/Shell/PowerShell	Couchbase	Chef			
Developer, full-stack	India	HTML/CSS	DynamoDB	Node.js	React Native		
Designer	Pakistan	C	Firebase	Unity 3D			
Developer, back-end	Germany	Bash/Shell/PowerShell	Elasticsearch	.NET Core			
Developer, back-end	China	Bash/Shell/PowerShell	MariaDB	Node.js	Pandas	Torch/PyTorch	
Developer, back-end	Brazil	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	Node.js		
Developer, front-end	India	Bash/Shell/PowerShell	DynamoDB	.NET	.NET Core	Node.js	
Database administrator	United Kingdom	C#	Microsoft SQL Server	.NET	.NET Core	Node.js	
Developer, full-stack	United States	C#	Microsoft SQL Server	.NET	.NET Core	Pandas	
Data or business analyst	United States	Bash/Shell/PowerShell	Other(s):	Apache Spark	Hadoop	Pandas	
Developer, back-end	Canada	HTML/CSS	PostgreSQL	Node.js	Puppet		
Developer, full-stack	United States	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	Russian Federation	Clojure	MongoDB	Pandas			
Developer, front-end	India	C#	Microsoft SQL Server	.NET			
Designer	United States	Bash/Shell/PowerShell	DynamoDB	Node.js			
Developer, full-stack	Netherlands	HTML/CSS	Elasticsearch	Ansible			
Data or business analyst	United States	Python	Cassandra	Pandas			
Data or business analyst	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET			
Developer, full-stack	Sweden	Assembly	Firebase	.NET	Node.js	Unity 3D	
Designer	United States	C#	Microsoft SQL Server	.NET			
Developer, back-end	Pakistan	C	Firebase	.NET			
Developer, back-end	India	Bash/Shell/PowerShell	Firebase	Apache Spark	Pandas	React Native	TensorFlow
Designer	Netherlands	Bash/Shell/PowerShell	Cassandra	Flutter	Node.js		
Developer, full-stack	United States	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, QA or test	United Kingdom	Bash/Shell/PowerShell	PostgreSQL	Ansible	Puppet		
Academic researcher	United States	C++	MySQL	TensorFlow			
Academic researcher	United States	JavaScript	MySQL	Hadoop	Node.js		
Developer, full-stack	Italy	C#	Firebase	.NET	Unity 3D		
Developer, back-end	United States	Bash/Shell/PowerShell	MariaDB	.NET			
Academic researcher	Netherlands	Assembly	Firebase	Node.js			
Developer, back-end	United States	Bash/Shell/PowerShell		.NET	.NET Core		
Developer, back-end	Germany	C	Elasticsearch	Ansible	Pandas		
Data scientist or machine learning specialist	United States	Bash/Shell/PowerShell	MongoDB	Apache Spark	Pandas		
Developer, back-end	United States	HTML/CSS	MySQL	Node.js			
Developer, back-end	Germany	Bash/Shell/PowerShell		Node.js			
Developer, full-stack	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	United States	C#	Microsoft SQL Server	.NET	.NET Core	Unity 3D	
Developer, full-stack	United Kingdom	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	Spain	Clojure		Ansible	Node.js	Unity 3D	
Developer, back-end	Spain	HTML/CSS	MySQL	Other(s):			
Academic researcher	India	Bash/Shell/PowerShell	Firebase	Cordova	Flutter	Node.js	Pandas
Database administrator	Greece	Assembly	MariaDB	Node.js			
Developer, QA or test	India	C	MongoDB	Ansible	Apache Spark	.NET	.NET Core
Database administrator	Australia	C#	Microsoft SQL Server	.NET	.NET Core	Xamarin	
Developer, full-stack	India	JavaScript	Firebase	.NET	Node.js	Xamarin	
Database administrator	United States	HTML/CSS	Firebase	Ansible	Node.js	React Native	
Developer, front-end	United States	Assembly		Node.js			
Data or business analyst	United Kingdom	C#	Microsoft SQL Server	Pandas			
Database administrator	United States	C#	Microsoft SQL Server	.NET	.NET Core	Node.js	
Developer, back-end	Poland	Assembly	MySQL	Node.js			
Developer, back-end	France	C#	Microsoft SQL Server	.NET	.NET Core		
Designer	France	HTML/CSS	MySQL	Node.js	Pandas		
Data scientist or machine learning specialist	Canada	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core	Node.js	
Developer, back-end	Netherlands	C#	MariaDB	Node.js	React Native		
Developer, back-end	Netherlands	Go	MongoDB	Node.js			
Developer, full-stack	United States	C#	Microsoft SQL Server	.NET			
Developer, back-end	India	C#	Microsoft SQL Server	.NET			
Academic researcher	Sweden	Assembly	MongoDB	Cordova	Node.js		
Developer, back-end	United States	Go	MySQL	Other(s):			
Developer, front-end	United States	Bash/Shell/PowerShell	MongoDB	Node.js	Pandas		
Data or business analyst	France	HTML/CSS	MySQL	Pandas			
Developer, back-end	Poland	Bash/Shell/PowerShell	Cassandra	Ansible			
Developer, full-stack	United States	Bash/Shell/PowerShell	Firebase	.NET	.NET Core	Xamarin	
Developer, full-stack	Canada	Bash/Shell/PowerShell	Microsoft SQL Server	.NET			
Developer, back-end	India	HTML/CSS	Microsoft SQL Server	Node.js			
Developer, front-end	United States	C	Firebase	.NET	Node.js	Unity 3D	Unreal Engine
Designer	Sweden	C#		.NET			
Developer, full-stack	United States	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	United Kingdom	HTML/CSS	Microsoft SQL Server	Ansible	.NET		
Developer, back-end	Germany	Bash/Shell/PowerShell	MySQL	Ansible	Node.js		
Data or business analyst	Australia	C#	Microsoft SQL Server	Apache Spark	.NET	.NET Core	
Developer, back-end	France	C	MySQL	Xamarin			
